,main_category,unit_type,sub_category,max_range,min_range
Acme Safety Shoes_pair_Available Size,Acme Safety Shoes,pair,Available Size,835.0,575.0
Acme Safety Shoes_pair_Brand,Acme Safety Shoes,pair,Brand,1100.0,349.0
Acme Safety Shoes_pair_Certification,Acme Safety Shoes,pair,Certification,1100.0,349.0
Acme Safety Shoes_pair_Closure,Acme Safety Shoes,pair,Closure,700.0,650.0
Acme Safety Shoes_pair_Color,Acme Safety Shoes,pair,Color,850.0,200.0
Acme Safety Shoes_pair_Delivery Time,Acme Safety Shoes,pair,Delivery Time,960.0,475.0
Acme Safety Shoes_pair_Design,Acme Safety Shoes,pair,Design,960.0,900.0
Acme Safety Shoes_pair_Features,Acme Safety Shoes,pair,Features,400.0,400.0
Acme Safety Shoes_pair_Gender,Acme Safety Shoes,pair,Gender,700.0,700.0
Acme Safety Shoes_pair_Height,Acme Safety Shoes,pair,Height,850.0,700.0
Acme Safety Shoes_pair_Length,Acme Safety Shoes,pair,Length,1050.0,349.0
Acme Safety Shoes_pair_Material,Acme Safety Shoes,pair,Material,1050.0,475.0
Acme Safety Shoes_pair_Model,Acme Safety Shoes,pair,Model,1020.0,899.0
Acme Safety Shoes_pair_Model Number/Name,Acme Safety Shoes,pair,Model Number/Name,1100.0,349.0
Acme Safety Shoes_pair_Size,Acme Safety Shoes,pair,Size,1100.0,349.0
Acme Safety Shoes_pair_Size/Dimension,Acme Safety Shoes,pair,Size/Dimension,850.0,850.0
Acme Safety Shoes_pair_Sole,Acme Safety Shoes,pair,Sole,1911.0,860.0
Acme Safety Shoes_pair_Sole Color,Acme Safety Shoes,pair,Sole Color,650.0,650.0
Acme Safety Shoes_pair_Sole Type,Acme Safety Shoes,pair,Sole Type,1100.0,475.0
Acme Safety Shoes_pair_Toe Cap,Acme Safety Shoes,pair,Toe Cap,925.0,899.0
Acme Safety Shoes_pair_Usage/Application,Acme Safety Shoes,pair,Usage/Application,835.0,575.0
Acme Safety Shoes_piece_Brand,Acme Safety Shoes,piece,Brand,399.0,399.0
Acme Safety Shoes_piece_Certification,Acme Safety Shoes,piece,Certification,399.0,399.0
Acme Safety Shoes_piece_Color,Acme Safety Shoes,piece,Color,200.0,200.0
Acme Safety Shoes_piece_Material,Acme Safety Shoes,piece,Material,699.0,699.0
Acme Safety Shoes_piece_Model Number/Name,Acme Safety Shoes,piece,Model Number/Name,399.0,399.0
Acme Safety Shoes_piece_Size,Acme Safety Shoes,piece,Size,500.0,399.0
Acme Safety Shoes_piece_Sole,Acme Safety Shoes,piece,Sole,699.0,550.0
Acme Safety Shoes_piece_Sole Type,Acme Safety Shoes,piece,Sole Type,500.0,399.0
Acme Safety Shoes_piece_Usage/Application,Acme Safety Shoes,piece,Usage/Application,699.0,399.0
Acme Safety Shoes_unit_Brand,Acme Safety Shoes,unit,Brand,720.0,680.0
Acme Safety Shoes_unit_Certification,Acme Safety Shoes,unit,Certification,720.0,680.0
Acme Safety Shoes_unit_Color,Acme Safety Shoes,unit,Color,720.0,680.0
Acme Safety Shoes_unit_Model Number/Name,Acme Safety Shoes,unit,Model Number/Name,720.0,680.0
Acme Safety Shoes_unit_Size,Acme Safety Shoes,unit,Size,720.0,680.0
Acme Safety Shoes_unit_Sole Type,Acme Safety Shoes,unit,Sole Type,720.0,680.0
Acme Safety Shoes_unit_Usage/Application,Acme Safety Shoes,unit,Usage/Application,720.0,680.0
Air Conditioner Voltage Stabilizer_box_Brand,Air Conditioner Voltage Stabilizer,box,Brand,600.0,300.0
Air Conditioner Voltage Stabilizer_box_Input Voltage,Air Conditioner Voltage Stabilizer,box,Input Voltage,1900.0,600.0
Air Conditioner Voltage Stabilizer_box_Output Voltage,Air Conditioner Voltage Stabilizer,box,Output Voltage,1900.0,600.0
Air Conditioner Voltage Stabilizer_box_Phase,Air Conditioner Voltage Stabilizer,box,Phase,600.0,300.0
Air Conditioner Voltage Stabilizer_box_Power,Air Conditioner Voltage Stabilizer,box,Power,1900.0,600.0
Air Conditioner Voltage Stabilizer_box_Usage,Air Conditioner Voltage Stabilizer,box,Usage,1900.0,600.0
Air Conditioner Voltage Stabilizer_box_Warranty,Air Conditioner Voltage Stabilizer,box,Warranty,4150.0,4150.0
Air Conditioner Voltage Stabilizer_number_Brand,Air Conditioner Voltage Stabilizer,number,Brand,1250.0,1250.0
Air Conditioner Voltage Stabilizer_number_Input Voltage,Air Conditioner Voltage Stabilizer,number,Input Voltage,1250.0,1250.0
Air Conditioner Voltage Stabilizer_number_Output Voltage,Air Conditioner Voltage Stabilizer,number,Output Voltage,1250.0,1250.0
Air Conditioner Voltage Stabilizer_number_Power,Air Conditioner Voltage Stabilizer,number,Power,1250.0,1250.0
Air Conditioner Voltage Stabilizer_number_Usage,Air Conditioner Voltage Stabilizer,number,Usage,1250.0,1250.0
Air Conditioner Voltage Stabilizer_piece_Application,Air Conditioner Voltage Stabilizer,piece,Application,850.0,120.0
Air Conditioner Voltage Stabilizer_piece_Brand,Air Conditioner Voltage Stabilizer,piece,Brand,3650.0,1000.0
Air Conditioner Voltage Stabilizer_piece_Capacity,Air Conditioner Voltage Stabilizer,piece,Capacity,9000.0,9000.0
Air Conditioner Voltage Stabilizer_piece_Color,Air Conditioner Voltage Stabilizer,piece,Color,2500.0,2500.0
Air Conditioner Voltage Stabilizer_piece_Current Capacity,Air Conditioner Voltage Stabilizer,piece,Current Capacity,6750.0,6750.0
Air Conditioner Voltage Stabilizer_piece_Frequency Characteristics,Air Conditioner Voltage Stabilizer,piece,Frequency Characteristics,3650.0,3650.0
Air Conditioner Voltage Stabilizer_piece_Input Voltage,Air Conditioner Voltage Stabilizer,piece,Input Voltage,10000.0,1000.0
Air Conditioner Voltage Stabilizer_piece_Mounting Type,Air Conditioner Voltage Stabilizer,piece,Mounting Type,3650.0,3650.0
Air Conditioner Voltage Stabilizer_piece_Output Voltage,Air Conditioner Voltage Stabilizer,piece,Output Voltage,6750.0,1000.0
Air Conditioner Voltage Stabilizer_piece_Phase,Air Conditioner Voltage Stabilizer,piece,Phase,5200.0,950.0
Air Conditioner Voltage Stabilizer_piece_Power,Air Conditioner Voltage Stabilizer,piece,Power,4000.0,330.0
Air Conditioner Voltage Stabilizer_piece_Shape,Air Conditioner Voltage Stabilizer,piece,Shape,2500.0,2500.0
Air Conditioner Voltage Stabilizer_piece_Time Delay,Air Conditioner Voltage Stabilizer,piece,Time Delay,3650.0,3650.0
Air Conditioner Voltage Stabilizer_piece_Usage,Air Conditioner Voltage Stabilizer,piece,Usage,6750.0,1000.0
Air Conditioner Voltage Stabilizer_piece_Warranty,Air Conditioner Voltage Stabilizer,piece,Warranty,3650.0,3000.0
Air Conditioner Voltage Stabilizer_unit_Application,Air Conditioner Voltage Stabilizer,unit,Application,3500.0,3500.0
Air Conditioner Voltage Stabilizer_unit_Brand,Air Conditioner Voltage Stabilizer,unit,Brand,7500.0,7000.0
Air Conditioner Voltage Stabilizer_unit_Frequency Characteristics,Air Conditioner Voltage Stabilizer,unit,Frequency Characteristics,2200.0,2200.0
Air Conditioner Voltage Stabilizer_unit_Input Voltage,Air Conditioner Voltage Stabilizer,unit,Input Voltage,3245.0,1439.6
Air Conditioner Voltage Stabilizer_unit_Model Number,Air Conditioner Voltage Stabilizer,unit,Model Number,7500.0,2600.0
Air Conditioner Voltage Stabilizer_unit_Mounting Type,Air Conditioner Voltage Stabilizer,unit,Mounting Type,7500.0,7500.0
Air Conditioner Voltage Stabilizer_unit_Output Voltage,Air Conditioner Voltage Stabilizer,unit,Output Voltage,3000.0,1439.6
Air Conditioner Voltage Stabilizer_unit_Phase,Air Conditioner Voltage Stabilizer,unit,Phase,2600.0,2600.0
Air Conditioner Voltage Stabilizer_unit_Power,Air Conditioner Voltage Stabilizer,unit,Power,6000.0,2600.0
Air Conditioner Voltage Stabilizer_unit_Usage,Air Conditioner Voltage Stabilizer,unit,Usage,7500.0,2200.0
Air Conditioner Voltage Stabilizer_unit_Warranty,Air Conditioner Voltage Stabilizer,unit,Warranty,7500.0,2600.0
Air Spray Gun_piece_Air Consumption,Air Spray Gun,piece,Air Consumption,22000.0,250.0
Air Spray Gun_piece_Air Consumption (cfm),Air Spray Gun,piece,Air Consumption (cfm),170.0,170.0
Air Spray Gun_piece_Application,Air Spray Gun,piece,Application,1100.0,850.0
Air Spray Gun_piece_Automation Grade,Air Spray Gun,piece,Automation Grade,1100.0,1100.0
Air Spray Gun_piece_Body Material,Air Spray Gun,piece,Body Material,3540.0,250.0
Air Spray Gun_piece_Brand,Air Spray Gun,piece,Brand,6200.0,100.0
Air Spray Gun_piece_Color,Air Spray Gun,piece,Color,22000.0,750.0
Air Spray Gun_piece_Cup Capacity,Air Spray Gun,piece,Cup Capacity,4600.0,170.0
Air Spray Gun_piece_Cup Capacity (ml),Air Spray Gun,piece,Cup Capacity (ml),2650.0,2650.0
Air Spray Gun_piece_Finishing,Air Spray Gun,piece,Finishing,1100.0,1100.0
Air Spray Gun_piece_Item Weight,Air Spray Gun,piece,Item Weight,6200.0,750.0
Air Spray Gun_piece_Item Weight (kg),Air Spray Gun,piece,Item Weight (kg),2650.0,2650.0
Air Spray Gun_piece_Material,Air Spray Gun,piece,Material,74000.0,74000.0
Air Spray Gun_piece_Model,Air Spray Gun,piece,Model,74000.0,74000.0
Air Spray Gun_piece_Model Number,Air Spray Gun,piece,Model Number,6400.0,1000.0
Air Spray Gun_piece_Nozzle Size,Air Spray Gun,piece,Nozzle Size,6200.0,170.0
Air Spray Gun_piece_Nozzle Size (mm),Air Spray Gun,piece,Nozzle Size (mm),2650.0,2650.0
Air Spray Gun_piece_Operation Mode,Air Spray Gun,piece,Operation Mode,1100.0,1100.0
Air Spray Gun_piece_Usage/Application,Air Spray Gun,piece,Usage/Application,6200.0,250.0
Air Spray Gun_unit_Air Consumption,Air Spray Gun,unit,Air Consumption,350.0,350.0
Air Spray Gun_unit_Air Inlet,Air Spray Gun,unit,Air Inlet,34000.0,34000.0
Air Spray Gun_unit_Air Pressure,Air Spray Gun,unit,Air Pressure,36000.0,34000.0
Air Spray Gun_unit_Body Material,Air Spray Gun,unit,Body Material,36000.0,33000.0
Air Spray Gun_unit_Brand,Air Spray Gun,unit,Brand,34000.0,33000.0
Air Spray Gun_unit_Color,Air Spray Gun,unit,Color,36000.0,33000.0
Air Spray Gun_unit_Cup Capacity,Air Spray Gun,unit,Cup Capacity,350.0,350.0
Air Spray Gun_unit_Finishing,Air Spray Gun,unit,Finishing,350.0,350.0
Air Spray Gun_unit_Item Weight,Air Spray Gun,unit,Item Weight,34000.0,350.0
Air Spray Gun_unit_Model Number,Air Spray Gun,unit,Model Number,34000.0,33000.0
Air Spray Gun_unit_Nozzle Size,Air Spray Gun,unit,Nozzle Size,34000.0,33000.0
Air Spray Gun_unit_Usage/Application,Air Spray Gun,unit,Usage/Application,34000.0,33000.0
Aluminium False Ceilings_number_Brand,Aluminium False Ceilings,number,Brand,200.0,200.0
Aluminium False Ceilings_number_Color,Aluminium False Ceilings,number,Color,150.0,150.0
Aluminium False Ceilings_number_Material,Aluminium False Ceilings,number,Material,200.0,200.0
Aluminium False Ceilings_number_Thickness,Aluminium False Ceilings,number,Thickness,200.0,150.0
Aluminium False Ceilings_number_Usage/Application,Aluminium False Ceilings,number,Usage/Application,200.0,150.0
Aluminium False Ceilings_piece_Brand,Aluminium False Ceilings,piece,Brand,270.0,210.0
Aluminium False Ceilings_piece_Color,Aluminium False Ceilings,piece,Color,230.0,40.0
Aluminium False Ceilings_piece_Features,Aluminium False Ceilings,piece,Features,140.0,140.0
Aluminium False Ceilings_piece_Material,Aluminium False Ceilings,piece,Material,270.0,230.0
Aluminium False Ceilings_piece_Surface Treatment,Aluminium False Ceilings,piece,Surface Treatment,270.0,270.0
Aluminium False Ceilings_piece_Thickness,Aluminium False Ceilings,piece,Thickness,270.0,210.0
Aluminium False Ceilings_piece_Type,Aluminium False Ceilings,piece,Type,5000.0,40.0
Aluminium False Ceilings_square feet_Area of Application,Aluminium False Ceilings,square feet,Area of Application,75.0,70.0
Aluminium False Ceilings_square feet_Brand,Aluminium False Ceilings,square feet,Brand,75.0,8.5
Aluminium False Ceilings_square feet_City/Location,Aluminium False Ceilings,square feet,City/Location,200.0,200.0
Aluminium False Ceilings_square feet_Color,Aluminium False Ceilings,square feet,Color,110.0,8.5
Aluminium False Ceilings_square feet_Dimensions,Aluminium False Ceilings,square feet,Dimensions,75.0,75.0
Aluminium False Ceilings_square feet_Features,Aluminium False Ceilings,square feet,Features,220.0,45.0
Aluminium False Ceilings_square feet_Material,Aluminium False Ceilings,square feet,Material,120.0,8.5
Aluminium False Ceilings_square feet_Occasion,Aluminium False Ceilings,square feet,Occasion,12.0,12.0
Aluminium False Ceilings_square feet_Pattern,Aluminium False Ceilings,square feet,Pattern,12.0,12.0
Aluminium False Ceilings_square feet_Provide Installation,Aluminium False Ceilings,square feet,Provide Installation,190.0,190.0
Aluminium False Ceilings_square feet_Surface Treatment,Aluminium False Ceilings,square feet,Surface Treatment,105.0,8.5
Aluminium False Ceilings_square feet_Thickness,Aluminium False Ceilings,square feet,Thickness,120.0,8.5
Aluminium False Ceilings_square feet_Type,Aluminium False Ceilings,square feet,Type,110.0,52.0
Aluminium False Ceilings_square feet_Type of False Ceiling,Aluminium False Ceilings,square feet,Type of False Ceiling,200.0,200.0
Aluminium False Ceilings_square feet_Usage/Application,Aluminium False Ceilings,square feet,Usage/Application,75.0,65.0
Aluminium False Ceilings_square inch_Provide Installation,Aluminium False Ceilings,square inch,Provide Installation,1.0,1.0
Aluminium False Ceilings_square inch_Thickness,Aluminium False Ceilings,square inch,Thickness,1.0,1.0
Aluminium False Ceilings_square inch_Type,Aluminium False Ceilings,square inch,Type,1.0,1.0
Aluminium False Ceilings_square meter_Brand,Aluminium False Ceilings,square meter,Brand,650.0,650.0
Aluminium False Ceilings_square meter_Color,Aluminium False Ceilings,square meter,Color,650.0,650.0
Aluminium False Ceilings_square meter_Material,Aluminium False Ceilings,square meter,Material,650.0,650.0
Aluminium False Ceilings_square meter_Surface Treatment,Aluminium False Ceilings,square meter,Surface Treatment,650.0,650.0
Aluminium False Ceilings_square meter_Thickness,Aluminium False Ceilings,square meter,Thickness,650.0,650.0
Aluminium False Ceilings_square meter_Usage/Application,Aluminium False Ceilings,square meter,Usage/Application,650.0,650.0
Aluminium Melting Furnace_number_Material,Aluminium Melting Furnace,number,Material,750000.0,255000.0
Aluminium Melting Furnace_piece_Material,Aluminium Melting Furnace,piece,Material,500000.0,500000.0
Aluminium Melting Furnace_piece_Material Loading Capacity,Aluminium Melting Furnace,piece,Material Loading Capacity,50000.0,50000.0
Aluminium Melting Furnace_piece_Material Loading Capacity (T),Aluminium Melting Furnace,piece,Material Loading Capacity (T),200000.0,180000.0
Aluminium Melting Furnace_piece_Melting Material,Aluminium Melting Furnace,piece,Melting Material,500000.0,50000.0
Aluminium Melting Furnace_piece_Power Source,Aluminium Melting Furnace,piece,Power Source,600000.0,50000.0
Aluminium Melting Furnace_piece_Type Of Furnace,Aluminium Melting Furnace,piece,Type Of Furnace,200000.0,200000.0
Aluminium Melting Furnace_piece_Type of Furnace,Aluminium Melting Furnace,piece,Type of Furnace,375000.0,180000.0
Aluminium Melting Furnace_set_Material Loading Capacity (T),Aluminium Melting Furnace,set,Material Loading Capacity (T),500000.0,500000.0
Aluminium Melting Furnace_set_Melting Material,Aluminium Melting Furnace,set,Melting Material,500000.0,500000.0
Aluminium Melting Furnace_set_Power Source,Aluminium Melting Furnace,set,Power Source,500000.0,500000.0
Aluminium Melting Furnace_unit_Application,Aluminium Melting Furnace,unit,Application,250000.0,250000.0
Aluminium Melting Furnace_unit_Brand,Aluminium Melting Furnace,unit,Brand,100000.0,100000.0
Aluminium Melting Furnace_unit_Driven Type,Aluminium Melting Furnace,unit,Driven Type,100000.0,100000.0
Aluminium Melting Furnace_unit_Material,Aluminium Melting Furnace,unit,Material,550000.0,500000.0
Aluminium Melting Furnace_unit_Material Loading Capacity,Aluminium Melting Furnace,unit,Material Loading Capacity,550000.0,500000.0
Aluminium Melting Furnace_unit_Material Loading Capacity (T),Aluminium Melting Furnace,unit,Material Loading Capacity (T),250000.0,250000.0
Aluminium Melting Furnace_unit_Melting Material,Aluminium Melting Furnace,unit,Melting Material,550000.0,100000.0
Aluminium Melting Furnace_unit_Power Source,Aluminium Melting Furnace,unit,Power Source,500000.0,100000.0
Aluminium Melting Furnace_unit_Type Of Furnace,Aluminium Melting Furnace,unit,Type Of Furnace,1500000.0,1500000.0
Aluminium Melting Furnace_unit_Type of Furnace,Aluminium Melting Furnace,unit,Type of Furnace,360000.0,250000.0
Aluminum Cables_kilogram_Protection Type,Aluminum Cables,kilogram,Protection Type,85.0,85.0
Aluminum Cables_kilogram_Size,Aluminum Cables,kilogram,Size,120.0,120.0
Aluminum Cables_meter_Application,Aluminum Cables,meter,Application,57.0,32.0
Aluminum Cables_meter_Brand,Aluminum Cables,meter,Brand,150.0,0.5
Aluminum Cables_meter_Cable Shape,Aluminum Cables,meter,Cable Shape,6.0,6.0
Aluminum Cables_meter_Conductor Type,Aluminum Cables,meter,Conductor Type,130.0,0.5
Aluminum Cables_meter_Conductor stranding,Aluminum Cables,meter,Conductor stranding,150.0,150.0
Aluminum Cables_meter_Is It Armoured,Aluminum Cables,meter,Is It Armoured,260.0,14.0
Aluminum Cables_meter_Length,Aluminum Cables,meter,Length,80.0,0.5
Aluminum Cables_meter_Material,Aluminum Cables,meter,Material,440.0,0.5
Aluminum Cables_meter_No Of Cores X Size In Sqmm,Aluminum Cables,meter,No Of Cores X Size In Sqmm,100.0,14.0
Aluminum Cables_meter_Nominal Voltage,Aluminum Cables,meter,Nominal Voltage,150.0,14.0
Aluminum Cables_meter_Number Of Core,Aluminum Cables,meter,Number Of Core,45.0,14.0
Aluminum Cables_meter_Number of Core,Aluminum Cables,meter,Number of Core,260.0,5.0
Aluminum Cables_meter_Number of Core1,Aluminum Cables,meter,Number of Core1,20.0,20.0
Aluminum Cables_meter_Number of cores,Aluminum Cables,meter,Number of cores,128.0,60.0
Aluminum Cables_meter_Power/Voltage,Aluminum Cables,meter,Power/Voltage,128.0,7.5
Aluminum Cables_meter_Product Type,Aluminum Cables,meter,Product Type,150.0,0.5
Aluminum Cables_meter_Protection Type,Aluminum Cables,meter,Protection Type,92.0,14.0
Aluminum Cables_meter_Shape,Aluminum Cables,meter,Shape,0.5,0.5
Aluminum Cables_meter_Size,Aluminum Cables,meter,Size,150.0,5.0
Aluminum Cables_meter_Type Of Cable,Aluminum Cables,meter,Type Of Cable,84.0,14.0
Aluminum Cables_meter_Usage/Application,Aluminum Cables,meter,Usage/Application,0.5,0.5
Aluminum Cables_roll_Brand,Aluminum Cables,roll,Brand,850.0,780.0
Aluminum Cables_roll_Conductor Type,Aluminum Cables,roll,Conductor Type,250.0,160.0
Aluminum Cables_roll_Conductor stranding,Aluminum Cables,roll,Conductor stranding,850.0,850.0
Aluminum Cables_roll_Nominal Voltage,Aluminum Cables,roll,Nominal Voltage,850.0,850.0
Aluminum Cables_roll_Number of Core,Aluminum Cables,roll,Number of Core,780.0,780.0
Aluminum Cables_roll_Part number,Aluminum Cables,roll,Part number,850.0,850.0
Aluminum Cables_roll_Product Type,Aluminum Cables,roll,Product Type,850.0,780.0
Aluminum Cables_roll_Protection Type,Aluminum Cables,roll,Protection Type,780.0,780.0
Aluminum Cables_roll_Size,Aluminum Cables,roll,Size,900.0,200.0
Aluminum Cables_square meter_Conductor Type,Aluminum Cables,square meter,Conductor Type,37.0,37.0
Aluminum Cables_square meter_Size,Aluminum Cables,square meter,Size,37.0,37.0
Aluminum Cables_unit_Size,Aluminum Cables,unit,Size,789.0,789.0
Audio Amplifiers_box_Brand,Audio Amplifiers,box,Brand,38500.0,38500.0
Audio Amplifiers_box_Channel,Audio Amplifiers,box,Channel,38500.0,38500.0
Audio Amplifiers_box_Color,Audio Amplifiers,box,Color,38500.0,38500.0
Audio Amplifiers_box_Features,Audio Amplifiers,box,Features,38500.0,38500.0
Audio Amplifiers_box_Vessel Dimensions,Audio Amplifiers,box,Vessel Dimensions,38500.0,38500.0
Audio Amplifiers_number_Channel,Audio Amplifiers,number,Channel,90000.0,90000.0
Audio Amplifiers_one_Model Number,Audio Amplifiers,one,Model Number,13515.0,13515.0
Audio Amplifiers_one_Power,Audio Amplifiers,one,Power,13515.0,13515.0
Audio Amplifiers_piece_Brand,Audio Amplifiers,piece,Brand,27100.0,260.0
Audio Amplifiers_piece_Channel,Audio Amplifiers,piece,Channel,43000.0,40.0
Audio Amplifiers_piece_Color,Audio Amplifiers,piece,Color,9000.0,40.0
Audio Amplifiers_piece_Connectivity,Audio Amplifiers,piece,Connectivity,26000.0,3600.0
Audio Amplifiers_piece_Control,Audio Amplifiers,piece,Control,9000.0,500.0
Audio Amplifiers_piece_Features,Audio Amplifiers,piece,Features,6500.0,750.0
Audio Amplifiers_piece_Model Number,Audio Amplifiers,piece,Model Number,31746.0,40.0
Audio Amplifiers_piece_Power,Audio Amplifiers,piece,Power,31746.0,40.0
Audio Amplifiers_piece_Screen Size,Audio Amplifiers,piece,Screen Size,1151.0,1151.0
Audio Amplifiers_piece_Size,Audio Amplifiers,piece,Size,1829.0,1151.0
Audio Amplifiers_piece_Speaker Channel,Audio Amplifiers,piece,Speaker Channel,4750.0,4750.0
Audio Amplifiers_piece_Type,Audio Amplifiers,piece,Type,31746.0,500.0
Audio Amplifiers_piece_Type Of Product,Audio Amplifiers,piece,Type Of Product,18499.0,1151.0
Audio Amplifiers_unit_Brand,Audio Amplifiers,unit,Brand,42000.0,24000.0
Audio Amplifiers_unit_Connectivity Type,Audio Amplifiers,unit,Connectivity Type,24000.0,24000.0
Audio Amplifiers_unit_Features,Audio Amplifiers,unit,Features,130.0,130.0
Audio Amplifiers_unit_Model Number,Audio Amplifiers,unit,Model Number,42000.0,42000.0
Audio Amplifiers_unit_Power,Audio Amplifiers,unit,Power,42000.0,42000.0
Audio Amplifiers_unit_Type,Audio Amplifiers,unit,Type,42000.0,42000.0
Backhoe Loader_day_Gross Power,Backhoe Loader,day,Gross Power,80000.0,80000.0
Backhoe Loader_day_Maximum Dig Depth,Backhoe Loader,day,Maximum Dig Depth,80000.0,80000.0
Backhoe Loader_day_Maximum operating weight,Backhoe Loader,day,Maximum operating weight,80000.0,80000.0
Backhoe Loader_hour_Backhoe Bucket Capacity,Backhoe Loader,hour,Backhoe Bucket Capacity,900.0,900.0
Backhoe Loader_hour_Brand,Backhoe Loader,hour,Brand,900.0,900.0
Backhoe Loader_hour_Gross Power,Backhoe Loader,hour,Gross Power,900.0,900.0
Backhoe Loader_hour_Loader Bucket Capacity,Backhoe Loader,hour,Loader Bucket Capacity,900.0,900.0
Backhoe Loader_hour_Maximum Dig Depth,Backhoe Loader,hour,Maximum Dig Depth,900.0,900.0
Backhoe Loader_hour_Maximum operating weight,Backhoe Loader,hour,Maximum operating weight,900.0,900.0
Backhoe Loader_hour_Model,Backhoe Loader,hour,Model,900.0,900.0
Backhoe Loader_number_Backhoe Bucket Capacity,Backhoe Loader,number,Backhoe Bucket Capacity,2690000.0,2600000.0
Backhoe Loader_number_Brand,Backhoe Loader,number,Brand,2690000.0,1600000.0
Backhoe Loader_number_Condition,Backhoe Loader,number,Condition,2570000.0,2570000.0
Backhoe Loader_number_Gross Power,Backhoe Loader,number,Gross Power,2600000.0,100000.0
Backhoe Loader_number_Gross Power (HP at rpm),Backhoe Loader,number,Gross Power (HP at rpm),2570000.0,2570000.0
Backhoe Loader_number_Loader Bucket Capacity,Backhoe Loader,number,Loader Bucket Capacity,2690000.0,2600000.0
Backhoe Loader_number_Maximum Dig Depth,Backhoe Loader,number,Maximum Dig Depth,2690000.0,1750000.0
Backhoe Loader_number_Maximum Dig Depth (mm),Backhoe Loader,number,Maximum Dig Depth (mm),2570000.0,2570000.0
Backhoe Loader_number_Maximum operating weight,Backhoe Loader,number,Maximum operating weight,100000.0,100000.0
Backhoe Loader_number_Model,Backhoe Loader,number,Model,2350000.0,2350000.0
